# Matter power spectrum P(k) at redshift z=0
# for k=9.66272e-06 to 139.669 h/Mpc,
# number of wavenumbers equal to 3581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.864833208137e-05       1.784910359664e+02 
       2.878056677409e-05       1.792843186591e+02 
       2.891341183441e-05       1.800811267626e+02 
       2.904687007967e-05       1.808814737793e+02 
       2.918094434020e-05       1.816853791496e+02 
       2.931563745940e-05       1.824928570285e+02 
       2.945095229379e-05       1.833039232600e+02 
       2.958689171308e-05       1.841185938028e+02 
       2.972345860022e-05       1.849368846448e+02 
       2.986065585146e-05       1.857588088859e+02 
       2.999848637645e-05       1.865843887361e+02 
       3.013695309823e-05       1.874136373127e+02 
       3.027605895336e-05       1.882465692742e+02 
       3.041580689195e-05       1.890832036804e+02 
       3.055619987771e-05       1.899235562026e+02 
       3.069724088805e-05       1.907676435496e+02 
       3.083893291411e-05       1.916154816246e+02 
       3.098127896086e-05       1.924670870831e+02 
       3.112428204709e-05       1.933224767821e+02 
       3.126794520559e-05       1.941816676351e+02 
       3.141227148310e-05       1.950446764989e+02 
       3.155726394043e-05       1.959115202972e+02 
       3.170292565254e-05       1.967822162167e+02 
       3.184925970856e-05       1.976567812461e+02 
       3.199626921190e-05       1.985352325357e+02 
       3.214395728027e-05       1.994175873979e+02 
       3.229232704580e-05       2.003038631629e+02 
       3.244138165504e-05       2.011940772649e+02 
       3.259112426910e-05       2.020882471868e+02 
       3.274155806366e-05       2.029863904994e+02 
       3.289268622907e-05       2.038885248583e+02 
       3.304451197040e-05       2.047946679629e+02 
       3.319703850751e-05       2.057048366084e+02 
       3.335026907512e-05       2.066190549991e+02 
       3.350420692290e-05       2.075373315858e+02 
       3.365885531550e-05       2.084596886303e+02 
       3.381421753265e-05       2.093861442464e+02 
       3.397029686921e-05       2.103167171762e+02 
       3.412709663525e-05       2.112514225944e+02 
       3.428462015613e-05       2.121902863663e+02 
       3.444287077254e-05       2.131333191341e+02 
       3.460185184062e-05       2.140805423465e+02 
       3.476156673196e-05       2.150319746507e+02 
       3.492201883374e-05       2.159876347189e+02 
       3.508321154877e-05       2.169475380887e+02 
       3.524514829558e-05       2.179117072669e+02 
       3.540783250844e-05       2.188801644400e+02 
       3.557126763751e-05       2.198529224349e+02 
       3.573545714886e-05       2.208300058566e+02 
       3.590040452456e-05       2.218114292148e+02 
       3.606611326276e-05       2.227972135863e+02 
       3.623258687774e-05       2.237873772114e+02 
       3.639982890001e-05       2.247819415761e+02 
       3.656784287638e-05       2.257809260260e+02 
       3.673663237003e-05       2.267843486824e+02 
       3.690620096059e-05       2.277922313722e+02 
       3.707655224419e-05       2.288045911665e+02 
       3.724768983360e-05       2.298214479080e+02 
       3.741961735822e-05       2.308428206706e+02 
       3.759233846425e-05       2.318687361777e+02 
       3.776585681467e-05       2.328992092587e+02 
       3.794017608941e-05       2.339342611244e+02 
       3.811529998537e-05       2.349739121707e+02 
       3.829123221650e-05       2.360181824897e+02 
       3.846797651391e-05       2.370670929387e+02 
       3.864553662593e-05       2.381206638950e+02 
       3.882391631819e-05       2.391789171091e+02 
       3.900311937370e-05       2.402418720744e+02 
       3.918314959294e-05       2.413095478704e+02 
       3.936401079390e-05       2.423819690754e+02 
       3.954570681225e-05       2.434591551304e+02 
       3.972824150130e-05       2.445411269779e+02 
       3.991161873220e-05       2.456279073459e+02 
       4.009584239394e-05       2.467195167208e+02 
       4.028091639347e-05       2.478159753055e+02 
       4.046684465576e-05       2.489173051768e+02 
       4.065363112392e-05       2.500235289883e+02 
       4.084127975924e-05       2.511346697005e+02 
       4.102979454131e-05       2.522507455681e+02 
       4.121917946808e-05       2.533717797808e+02 
       4.140943855595e-05       2.544977937568e+02 
       4.160057583987e-05       2.556288130705e+02 
       4.179259537341e-05       2.567648570040e+02 
       4.198550122884e-05       2.579059490440e+02 
       4.217929749725e-05       2.590521095892e+02 
       4.237398828859e-05       2.602033646264e+02 
       4.256957773179e-05       2.613597324033e+02 
       4.276606997484e-05       2.625212367799e+02 
       4.296346918487e-05       2.636879072945e+02 
       4.316177954826e-05       2.648597550993e+02 
       4.336100527070e-05       2.660368122140e+02 
       4.356115057729e-05       2.672190985629e+02 
       4.376221971264e-05       2.684066364521e+02 
       4.396421694095e-05       2.695994528913e+02 
       4.416714654610e-05       2.707975678372e+02 
       4.437101283175e-05       2.720010055737e+02 
       4.457582012143e-05       2.732097896233e+02 
       4.478157275859e-05       2.744239443404e+02 
       4.498827510678e-05       2.756434953579e+02 
       4.519593154966e-05       2.768684600987e+02 
       4.540454649113e-05       2.780988703709e+02 
       4.561412435542e-05       2.793347465251e+02 
